2619,0,2952,0,469,"2014-07-16 00:00:00",\N,\N,\N,\N,\N,\N,\N
670,9120,132,5455,161,"2014-06-17 00:00:00",\N,\N,\N,\N,\N,\N,\N
2264,0,794,0,414,"2014-11-20 00:00:00",\N,\N,\N,\N,\N,\N,\N
3531,0,5287,0,19,"2015-12-24 00:00:00",\N,\N,\N,\N,\N,\N,\N
1233,8468,5163,1181,89,"2013-12-18 00:00:00",\N,\N,\N,\N,\N,\N,\N
4902,0,5206,0,659,"2017-11-07 00:00:00",\N,\N,\N,\N,\N,\N,\N
600,9146,3141,8645,346,"2013-11-04 00:00:00",\N,\N,\N,\N,\N,\N,\N
4704,0,5745,0,630,"2016-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
2460,0,2379,3,5,"2014-07-28 00:00:00",\N,\N,\N,\N,\N,\N,\N
3177,0,2829,0,320,"2015-12-21 00:00:00",\N,\N,\N,\N,\N,\N,\N
3341,0,2940,0,290,"2015-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
3547,0,2933,0,19,"2015-12-30 00:00:00",\N,\N,\N,\N,\N,\N,\N
3697,0,13,4643,397,"2016-10-07 00:00:00",\N,\N,\N,\N,\N,\N,\N
5188,0,4041,8435,460,"2017-10-13 00:00:00",\N,\N,\N,\N,\N,\N,\N
4047,0,961,9647,370,"2016-12-19 00:00:00",\N,\N,\N,\N,\N,\N,\N
5053,0,5340,0,19,"2017-10-10 00:00:00",\N,\N,\N,\N,\N,\N,\N
451,8073,5303,5845,454,"2012-12-28 00:00:00",\N,\N,\N,\N,\N,\N,\N
4937,0,479,0,614,"2017-11-24 00:00:00",\N,\N,\N,\N,\N,\N,\N
5115,0,5572,6093,325,"2017-09-29 00:00:00",\N,\N,\N,\N,\N,\N,\N
98,2149,5348,2186,81,"2011-12-27 00:00:00",\N,\N,\N,\N,\N,\N,\N
1445,0,3049,1512,299,"2015-06-22 00:00:00",\N,\N,\N,\N,\N,\N,\N
4503,0,935,1229,233,"2016-11-22 00:00:00",\N,\N,\N,\N,\N,\N,\N
2608,0,2846,0,293,"2014-07-03 00:00:00",\N,\N,\N,\N,\N,\N,\N
4191,0,3997,0,114,"2016-07-06 00:00:00",\N,\N,\N,\N,\N,\N,\N
5463,0,2656,0,512,"2017-12-22 00:00:00",\N,\N,\N,\N,\N,\N,\N
5183,0,3745,8435,460,"2017-11-03 00:00:00",\N,\N,\N,\N,\N,\N,\N
2123,0,5340,0,483,"2014-12-19 00:00:00",\N,\N,\N,\N,\N,\N,\N
793,9711,2979,9666,116,"2013-09-11 00:00:00",\N,\N,\N,\N,\N,\N,\N
5149,0,484,4313,370,"2017-10-16 00:00:00",\N,\N,\N,\N,\N,\N,\N
5348,0,5049,0,551,"2017-09-14 00:00:00",\N,\N,\N,\N,\N,\N,\N
3167,0,5579,0,501,"2015-11-24 00:00:00",\N,\N,\N,\N,\N,\N,\N
5793,0,5785,0,220,"2022-06-06 00:00:00",\N,\N,\N,\N,\N,\N,\N
2628,0,3,5403,422,"2014-11-04 00:00:00",\N,\N,\N,\N,\N,\N,\N
4565,0,2524,0,65,"2016-09-20 00:00:00",\N,\N,\N,\N,\N,\N,\N
3764,0,449,8539,249,"2016-11-03 00:00:00",\N,\N,\N,\N,\N,\N,\N
1605,0,2929,2707,299,"2013-12-09 00:00:00",\N,\N,\N,\N,\N,\N,\N
811,9544,5204,7467,426,"2013-09-24 00:00:00",\N,\N,\N,\N,\N,\N,\N
1939,0,699,6808,359,"2013-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
4133,0,5543,0,501,"2016-06-08 00:00:00",\N,\N,\N,\N,\N,\N,\N
770,8972,679,9170,428,"2013-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
4587,0,4353,0,591,"2016-12-05 00:00:00",\N,\N,\N,\N,\N,\N,\N
5158,0,5750,9757,341,"2017-11-24 00:00:00",\N,\N,\N,\N,\N,\N,\N
4526,0,3656,0,423,"2016-07-01 00:00:00",\N,\N,\N,\N,\N,\N,\N
1843,0,3143,5172,338,"2013-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
3917,0,3719,0,423,"2016-07-01 00:00:00",\N,\N,\N,\N,\N,\N,\N
1701,0,2299,9157,468,"2013-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
5780,0,5652,0,220,"2022-05-20 00:00:00",\N,\N,\N,\N,\N,\N,\N
1350,0,4305,333,88,"2013-12-27 00:00:00",\N,\N,\N,\N,\N,\N,\N
11,681,3369,680,246,"2010-10-28 00:00:00",\N,\N,\N,\N,\N,\N,\N
1633,0,5583,8021,354,"2013-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
1236,8744,2560,4570,343,"2013-12-26 00:00:00",\N,\N,\N,\N,\N,\N,\N
3602,0,662,3094,319,"2016-04-22 00:00:00",\N,\N,\N,\N,\N,\N,\N
2560,0,1036,0,415,"2014-12-15 00:00:00",\N,\N,\N,\N,\N,\N,\N
4001,0,864,8207,261,"2016-12-02 00:00:00",\N,\N,\N,\N,\N,\N,\N
2112,0,5299,5824,432,"2014-07-11 00:00:00",\N,\N,\N,\N,\N,\N,\N
2218,0,838,5462,198,"2014-12-04 00:00:00",\N,\N,\N,\N,\N,\N,\N
2649,0,5541,0,325,"2014-12-02 00:00:00",\N,\N,\N,\N,\N,\N,\N
5416,0,2701,0,512,"2017-09-26 00:00:00",\N,\N,\N,\N,\N,\N,\N
4037,0,1231,0,625,"2016-12-06 00:00:00",\N,\N,\N,\N,\N,\N,\N
4265,0,5077,0,11,"2016-06-13 00:00:00",\N,\N,\N,\N,\N,\N,\N
5257,0,2695,5767,23,"2017-10-23 00:00:00",\N,\N,\N,\N,\N,\N,\N
2150,0,5328,695,162,"2014-11-04 00:00:00",\N,\N,\N,\N,\N,\N,\N
1051,0,2419,545,23,"2013-10-07 00:00:00",\N,\N,\N,\N,\N,\N,\N
2049,0,5281,0,369,"2014-07-10 00:00:00",\N,\N,\N,\N,\N,\N,\N
5692,0,5061,0,550,"2017-12-29 00:00:00",\N,\N,\N,\N,\N,\N,\N
1156,0,2720,1256,227,"2013-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
